FID,OBJECTID,SHAPE,STATION,LINIE,BEMERKUNG,ANLAGEN_ID,GRUPPEN_ID,SE_ANNO_CAD_DATA
AUFZUGOGD.159,159,POINT (16.364594212424212 48.209183594581916),Herrengasse,U3,Aufzug fährt vom Bahnsteig der Linie U3 ins Zwischengeschoß Aufgang Minoritenplatz.,HZ A02,HZ A02,
AUFZUGOGD.160,160,POINT (16.399124027656335 48.19800851569749),Kardinal-Nagl-Platz,U3,Aufzug fährt vom Mittelbahnsteig in das stadteinwärtige Aufnahmgebäude Ausgang Keinergasse,KN A01, ,
AUFZUGOGD.161,161,POINT (16.384471660923374 48.20626468413456),Landstraße,U3,Aufzug fährt vom Zwischengeschoß auf den U4-Mittelbahnsteig und in das Aufnahmegebäude der ÖBB,LA A01, ,
AUFZUGOGD.162,162,POINT (16.26080784633457 48.19698403530939),Hütteldorf,U4,Aufzug fährt von der Passage auf den U4 Bahnsteig.,HF A01, ,
AUFZUGOGD.163,163,POINT (16.353963459733183 48.19174788822377),Pilgramgasse,U4,Aufzug fährt vom Bahnsteig der Linie U4 Gleis 2 Richtung Hütteldorf an die Oberfläche.,PG A02, ,
AUFZUGOGD.164,164,POINT (16.35412713878891 48.19169392766959),Pilgramgasse,U4,Aufzug fährt vom Bahnsteig der Linie U4 Gleis 1 Richtung Heiligenstadt an die Oberfläche.,PG A01, ,
AUFZUGOGD.165,165,POINT (16.31844516457906 48.18624981562828),Schönbrunn,U4,Aufzug fährt vom Bahnsteig der Linie U4 Gleis 1 Richtung Heiligenstadt an die Oberfläche.,SB A01, ,
AUFZUGOGD.166,166,POINT (16.318378784071527 48.18613083244542),Schönbrunn,U4,Aufzug fährt vom Bahnsteig der Linie U4 Gleis 2 Richtung Hütteldorf an die Oberfläche.,SB A02, ,
AUFZUGOGD.167,167,POINT (16.3634016941589 48.228425479639036),Friedensbrücke,U4,Aufzug fährt vom Mittelbahnsteigende in das stadtauswärtige Aufnahmegebäude Ausgang Gussenbauergasse.,FB A01, ,
AUFZUGOGD.168,168,POINT (16.343505283443186 48.18858437164356),Margaretengürtel,U4,Aufzug fährt vom Bahnsteig Gleis 2 Richtung Hütteldorf an die Oberfläche.,MG A02, ,
AUFZUGOGD.169,169,POINT (16.343521871234085 48.18846063931396),Margaretengürtel,U4,Aufzug fährt vom Bahnsteig Gleis 1 Richtung Heiligenstadt an die Oberfläche.,MG A01, ,
AUFZUGOGD.170,170,POINT (16.329080029914213 48.1836470377062),Meidlinger Hauptstraße,U4,Aufzug fährt vom Mittelbahnsteig an die Oberfläche Meidlinger Hauptstraße/Lobkowitzbrücke.,MH A01, ,
AUFZUGOGD.171,171,POINT (16.27693689930228 48.19221156058287),Ober St.Veit,U4,Aufzug fährt vom Bahnsteig der Linie U4 Gleis 2 Richtung Hütteldorf an die Oberfläche.,OV A02, ,
AUFZUGOGD.172,172,POINT (16.276925161686243 48.192103685573386),Ober St.Veit,U4,Aufzug fährt vom Bahnsteig der Linie U4 Gleis 1 Richtung Heiligenstadt an die Oberfläche.,OV A01, ,
AUFZUGOGD.173,173,POINT (16.36902695344884 48.20049695855359),Karlsplatz,U4,Aufzug fährt vom U4 Bahnsteig in die Karlsplatzpassage.,KP A05, ,
AUFZUGOGD.174,174,POINT (16.365819352391544 48.24861276408135),Heiligenstadt,U4,"Aufzug fährt von der Passage auf den Mittelbahnsteig (Gleis 2, Gleis 4; Fahrtrichtung 2 nach Hütteldorf) und ÖBB-Seitenbahnsteig",HS A02, ,
AUFZUGOGD.175,175,POINT (16.365985123743126 48.24859907939056),Heiligenstadt,U4,"Aufzug fährt von der Passage auf den Mittelbahnsteig (Gleis 1, Gleis 3; Fahrtrichtung 1 nach Heiligenstadt)",HS A01, ,
AUFZUGOGD.176,176,POINT (16.380078467434615 48.2032557946088),Stadtpark,U4,Aufzug fährt vom Bahnsteig der Linie U4 Gleis 1 Richtung Heiligenstadt an die Oberfläche.,ST A01, ,
AUFZUGOGD.177,177,POINT (16.38028241954886 48.20311294951049),Stadtpark,U4,Aufzug fährt vom Bahnsteig der Linie U4 Gleis 2 Richtung Hütteldorf an die Oberfläche.,ST A02, ,
AUFZUGOGD.178,178,POINT (16.367456994048254 48.22266906315436),Roßauer Lände,U4,"Aufzug fährt vom Seitenbahnsteigende (Gleis 2, Fahrtrichtung 2 nach Hütteldorf) in das stadtauswärtige Aufnahmegebäude Ausgang Seegasse",RL A02, ,
AUFZUGOGD.179,179,POINT (16.36761010217181 48.22266029697107),Roßauer Lände,U4,"Aufzug fährt vom Seitenbahnsteigende (Gleis 1, Fahrtrichtung 1 nach Heiligenstadt) in das stadtauswärtige Aufnahmegebäude Ausgang Seegasse",RL A01, ,
AUFZUGOGD.180,180,POINT (16.304457967418035 48.18752379538904),Hietzing,U4,Aufzug fährt vom Bahnsteig der Linie U4 Gleis 1 Richtung Heiligenstadt an die Oberfläche Kennedybrücke.,HI A01, ,
AUFZUGOGD.181,181,POINT (16.3045148146385 48.18766657820208),Hietzing,U4,Aufzug fährt vom Bahnsteig der Linie U4 Gleis 2 Richtung Hütteldorf an die Oberfläche Kennedybrücke.,HI A02, ,
AUFZUGOGD.182,182,POINT (16.370792367827224 48.20052499200522),Karlsplatz,U4,Aufzug führt von Passage Karlsplatz zur Oberfläche - Ausgang Künstlerhaus.,KP A08, ,
AUFZUGOGD.183,183,POINT (16.2865393253579 48.19109934195591),Unter St.Veit,U4,Aufzug fährt vom Bahnsteig der Linie U4 Gleis 2 an die Oberfläche.,UV A02, ,
